,0
0,"Senior Quantitative Analyst – Investment and Client Services Team
Save
Scientific Beta Singapore
Singapore, Permanent, Full time As part of its international development programme, and in order to strengthen its index development activity, Scientific Beta is recruiting a Senior Quantitative Analyst for its head office in Singapore.
About Scientific Beta As part of its policy of transferring know-how to the industry, EDHEC-Risk Institute has set up Scientific Beta. Scientific Beta is an original initiative, which aims to favour the adoption of the latest advances in smart beta design an
Full time
9 minutes ago

According to qualification and experience"
1,"Operations Executive
Save
Selby Jennings Singapore
Operations Executive, Commodities, Location: Singapore We are currently working with an established trading house who is for an Operations Executive to join the team. The ideal candidate should have at least 3-5 years of experience in the Agricultural operation space and a strong passion for his/her work
Operations Executive, Commodities, Location: Singapore We are currently working with an established trading house who is for an Operations Executive to join the team. The ideal candidate
Full time
46 minutes ago

Negotiable"
2,"Head of Operations
Save
SGX Bond Trading Pte. Ltd. Singapore
SGX Bond Trading Pte Limited owns and manages Asia’s only electronic trading platform dedicated to Asian credit and Emerging Markets. We are expanding our business and looking for hungry, motivated, flexible employees to join us as we grow. Our business is independent from our parent and headquartered in Singapore with clients from close to 30 countries in the region and beyond this opportunity will appeal to ambitious, creative, groundbreakers who want to be part of the leading team in the busi
Full time
47 minutes ago

competitive"
3,"Head of IT Operations and Infrastructure, Singapore
Save
SGX Bond Trading Pte. Ltd. Singapore
SGX Bond Trading Pte Limited owns and manages Asia’s only electronic trading platform dedicated to Asian credit and Emerging Markets. We are expanding our business and looking for hungry, motivated, flexible employees to join us as we grow. Our business is independent from our parent and headquartered in Singapore with clients from close to 30 countries in the region and beyond this opportunity will appeal to ambitious, creative, groundbreakers who want to be part of the leading team in the busi
Full time
47 minutes ago

competitive"
4,"Client Integration Specialist
Save
SGX Bond Trading Pte. Ltd. Singapore
We are seeking a FIX (Financial Information Exchange) Client Integration Specialist that is looking for a challenge in a fast-paced environment to join our growing team. Candidate must be internally driven to go the extra mile to provide a best-in-class service experience. In this role, the FIX Client Integration Specialist will be responsible for supporting a growing application and client user base. The ideal candidate will be responsible for all FIX related interaction with clients, both tech
Full time
47 minutes ago

competitive"
5,"Workday Functional Tester
Save
Capgemini Singapore
Drive test automation using TOSCA and achieve test automation targets
·        Work as a Workday Functional Test Lead creating test scenarios, test cases, performing test execution, logging defects / tracking and ensuring timely closure of test phases  ·        Create automated test cases using TOSCA and perform execution  ·        Development and maintenance of procedures for smoke, regressions, system load, data conversion, system integration test, and user acceptance testing. ·       
Full time
50 minutes ago

60000-100000"
6,"Automation Tosca Tester
Save
Capgemini Singapore
Tosca Automation Tester
3 years of Hand on experience in testing and automation using TOSCA 3 5 years of functional test automation for desktop and or web applications preferably banking solutions Strong experience of understanding functional requirements and developing automated test scenarios test cases scripts test data Minimum of AS1 AS2 TDS1 and TDS2 certified AE1 and AE2 preferred Experience in using TCD is a must Experience in using externalized test data in TOSCA is a must Experience
Full time
1 hour ago

50000-70000"
7,"Wealth Planning Manager ($3000 | No Exp)
Save
Adecco Personnel Pte. Ltd. Singapore
Our Client, one of the largest multinational banking and financial services corporation, is looking for a Wealth Planning Manager to join their expanding team!
The Talent No experience required, training will be provided Diploma/Degree in any specialisation  Meticulous, organised and good attention to details Good interpersonal and communication skills Immediate or short notice period will be advantageous The Job Provide financial advice to clients through offering wealth management so
Full time
1 hour ago

36000"
8,"Compliance Specialist with a Commodity Trading TMNC
Save
The Cap Consulting Group Pte Ltd Singapore
Compliance Specialist with a Commodity Trading TMNC Minimum of 5 years of related experience (either compliance, trading, or risk activities). Experience in performing compliance Background checks in counterparties and local personnel in accordance with local market practices. Experience in developing elements of a Trading Surveillance control framework or similar in a Financial Services or trading company.   Our client is a commodity trading firm which has a global brand name. It is looking
Full time
1 hour ago

market range"
9,"Trade Surveillance Analyst, Compliance
Save
Sloane Shorey Consulting Singapore
Opportunity for compliance graduates, operations (trade control, trade support, trading analysis) or securities fraud invesitigations candidates: Working as a trade surveillance analyst for this highly reputable financial services firm, you will apply your analytical skills and markets knowledge to monitor trading activity, investigating suspicious activity and suspected market misconduct as needed. Role is open to those from audit, compliance, finance, operations or risk with suitable knowledge
Full time
1 hour ago

60k - 90k"
10,"Operations Transformation & Innovation Specialist
Save
Charterhouse Partnership Singapore Singapore
My client is a prestigious Investment Management firm, is currently looking to hire an experienced Operations Transformation and Innovation Specialist to work in their Singapore office.
The successful candidate will drive the transformation projects from inception to production. He/She must have a digital product management mentality. He/She will be defining and scaling initiatives with clear communication on change management, industry directions, and the value of innovations. He/She will k
Full time
1 hour ago

Competitive"
